2026-03-29 07:53:36 | speedlimit | Conf:0.78 | Action:set_speed | Speed:40
2026-03-29 07:54:00 | slowdown | Conf:0.86 | Action:reduce_speed | Speed:30
2026-03-29 07:54:03 | speedlimit | Conf:0.83 | Action:set_speed | Speed:40
2026-03-29 07:54:07 | slowdown | Conf:0.89 | Action:reduce_speed | Speed:30
2026-03-29 07:54:10 | crossing | Conf:0.88 | Action:reduce_speed | Speed:25
2026-03-29 07:54:13 | speedlimit | Conf:0.84 | Action:set_speed | Speed:40
2026-03-29 07:54:18 | slowdown | Conf:0.75 | Action:reduce_speed | Speed:30
2026-03-29 07:54:21 | speedlimit | Conf:0.83 | Action:set_speed | Speed:40
2026-03-29 07:54:24 | slowdown | Conf:0.71 | Action:reduce_speed | Speed:30
2026-03-29 07:54:27 | speedlimit | Conf:0.79 | Action:set_speed | Speed:40
2026-03-29 07:54:33 | slowdown | Conf:0.83 | Action:reduce_speed | Speed:30
2026-03-29 07:54:36 | crossing | Conf:0.76 | Action:reduce_speed | Speed:25
2026-03-29 07:54:39 | slowdown | Conf:0.74 | Action:reduce_speed | Speed:30
2026-03-29 07:55:41 | speedlimit | Conf:0.89 | Action:set_speed | Speed:40
2026-03-29 07:55:51 | crossing | Conf:0.8 | Action:reduce_speed | Speed:25
2026-03-29 07:56:23 | speedlimit | Conf:0.74 | Action:set_speed | Speed:40
2026-03-29 07:57:15 | crossing | Conf:0.79 | Action:reduce_speed | Speed:25
2026-03-29 07:59:21 | slowdown | Conf:0.81 | Action:reduce_speed | Speed:30
2026-03-29 07:59:24 | slowdown | Conf:0.85 | Action:reduce_speed | Speed:30
2026-03-29 07:59:27 | slowdown | Conf:0.82 | Action:reduce_speed | Speed:30
2026-03-29 07:59:30 | slowdown | Conf:0.72 | Action:reduce_speed | Speed:30
2026-03-29 07:59:35 | slowdown | Conf:0.79 | Action:reduce_speed | Speed:30
2026-03-29 07:59:38 | slowdown | Conf:0.8 | Action:reduce_speed | Speed:30
2026-03-29 07:59:41 | slowdown | Conf:0.81 | Action:reduce_speed | Speed:30
2026-03-29 08:00:56 | crossing | Conf:0.75 | Action:reduce_speed | Speed:25
2026-03-29 08:00:58 | crossing | Conf:0.79 | Action:reduce_speed | Speed:25
2026-03-29 08:00:59 | crossing | Conf:0.78 | Action:reduce_speed | Speed:25
2026-03-29 08:01:01 | crossing | Conf:0.81 | Action:reduce_speed | Speed:25
2026-03-29 08:01:02 | crossing | Conf:0.75 | Action:reduce_speed | Speed:25
2026-03-29 08:01:04 | crossing | Conf:0.8 | Action:reduce_speed | Speed:25
2026-03-29 08:01:05 | crossing | Conf:0.76 | Action:reduce_speed | Speed:25
2026-03-29 08:01:06 | crossing | Conf:0.8 | Action:reduce_speed | Speed:25
2026-03-29 08:01:07 | crossing | Conf:0.82 | Action:reduce_speed | Speed:25
2026-03-29 08:01:09 | crossing | Conf:0.8 | Action:reduce_speed | Speed:25
2026-03-29 08:01:10 | crossing | Conf:0.83 | Action:reduce_speed | Speed:25
2026-03-29 08:01:15 | crossing | Conf:0.85 | Action:reduce_speed | Speed:25
2026-03-29 08:01:16 | crossing | Conf:0.75 | Action:reduce_speed | Speed:25
2026-03-29 08:01:18 | crossing | Conf:0.76 | Action:reduce_speed | Speed:25
2026-03-29 08:01:19 | crossing | Conf:0.75 | Action:reduce_speed | Speed:25
2026-03-29 08:01:20 | crossing | Conf:0.72 | Action:reduce_speed | Speed:25
2026-03-29 08:01:21 | crossing | Conf:0.79 | Action:reduce_speed | Speed:25
2026-03-29 08:01:24 | crossing | Conf:0.85 | Action:reduce_speed | Speed:25
2026-03-29 08:01:25 | speedlimit | Conf:0.87 | Action:set_speed | Speed:40
2026-03-29 08:01:28 | speedlimit | Conf:0.88 | Action:set_speed | Speed:40
2026-03-29 08:01:29 | speedlimit | Conf:0.79 | Action:set_speed | Speed:40
2026-03-29 08:01:30 | speedlimit | Conf:0.88 | Action:set_speed | Speed:40
2026-03-29 08:01:31 | speedlimit | Conf:0.87 | Action:set_speed | Speed:40
2026-03-29 08:01:32 | speedlimit | Conf:0.85 | Action:set_speed | Speed:40
2026-03-29 08:01:33 | speedlimit | Conf:0.88 | Action:set_speed | Speed:40
2026-03-29 08:01:34 | speedlimit | Conf:0.87 | Action:set_speed | Speed:40
2026-03-29 08:01:35 | speedlimit | Conf:0.85 | Action:set_speed | Speed:40
2026-03-29 08:01:36 | speedlimit | Conf:0.85 | Action:set_speed | Speed:40
2026-03-29 08:01:37 | speedlimit | Conf:0.86 | Action:set_speed | Speed:40
2026-03-29 08:01:38 | speedlimit | Conf:0.88 | Action:set_speed | Speed:40
2026-03-29 08:01:39 | speedlimit | Conf:0.84 | Action:set_speed | Speed:40
2026-03-29 08:01:40 | speedlimit | Conf:0.85 | Action:set_speed | Speed:40
2026-03-29 08:01:42 | speedlimit | Conf:0.84 | Action:set_speed | Speed:40
2026-03-29 08:20:38 | workinprogress | Conf:0.82 | Action:reduce_speed | Speed:20
2026-03-29 08:20:42 | workinprogress | Conf:0.76 | Action:reduce_speed | Speed:20
2026-03-29 08:20:43 | slowdown | Conf:0.9 | Action:reduce_speed | Speed:30
2026-03-29 08:20:44 | slowdown | Conf:0.8 | Action:reduce_speed | Speed:30
2026-03-29 08:20:45 | slowdown | Conf:0.83 | Action:reduce_speed | Speed:30
2026-03-29 08:20:46 | crossing | Conf:0.85 | Action:reduce_speed | Speed:25
2026-03-29 08:21:00 | slowdown | Conf:0.84 | Action:reduce_speed | Speed:30
2026-03-29 08:21:01 | slowdown | Conf:0.76 | Action:reduce_speed | Speed:30
2026-03-29 08:21:07 | slowdown | Conf:0.82 | Action:reduce_speed | Speed:30
