epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.5452,1.54558,3.09682,1.30983,0.34137,0.65539,0.43645,0.23657,1.51701,2.08628,1.29899,0.000413907,0.000413907,0.000413907
2,67.7041,1.54766,2.06965,1.41137,0.67785,0.77699,0.83919,0.46584,1.48395,1.76205,1.52213,0.000827842,0.000827842,0.000827842
3,100.588,1.58851,1.79307,1.46913,0.89771,0.82819,0.9641,0.53038,1.49993,1.4453,1.56039,0.00123904,0.00123904,0.00123904
4,139.19,1.5769,1.57281,1.44082,0.85174,0.94323,0.95751,0.54634,1.46369,1.37256,1.41539,0.00123767,0.00123767,0.00123767
5,176.92,1.59192,1.575,1.4869,0.92981,0.92303,0.98705,0.56447,1.47601,1.29462,1.45796,0.00123355,0.00123355,0.00123355
6,216.614,1.56511,1.39705,1.46671,0.87446,0.95197,0.98788,0.57807,1.48566,1.24452,1.39255,0.00122944,0.00122944,0.00122944
7,254.704,1.57783,1.42436,1.47802,0.97768,0.97037,0.99436,0.57887,1.43766,1.13725,1.40387,0.00122533,0.00122533,0.00122533
8,292.572,1.56544,1.29037,1.44948,0.96055,0.97747,0.99409,0.59582,1.4407,1.05766,1.38887,0.00122122,0.00122122,0.00122122
9,324.681,1.51472,1.22032,1.41864,0.97872,0.98649,0.99339,0.58619,1.44208,1.04202,1.36565,0.00121711,0.00121711,0.00121711
10,363.294,1.5404,1.17479,1.38666,0.99401,0.9946,0.995,0.58799,1.45114,1.07881,1.34483,0.001213,0.001213,0.001213
11,398.038,1.51132,1.1259,1.36402,0.98696,0.99355,0.99495,0.59882,1.39701,0.98198,1.35152,0.00120889,0.00120889,0.00120889
12,435.328,1.47743,1.12145,1.36046,0.98804,0.99412,0.99378,0.59289,1.44572,0.95899,1.32805,0.00120478,0.00120478,0.00120478
13,474.703,1.56803,1.12346,1.41292,0.98441,0.99488,0.99495,0.60032,1.40385,0.85937,1.34152,0.00120066,0.00120066,0.00120066
14,509.582,1.50521,1.0897,1.37098,0.98397,0.99114,0.99164,0.5847,1.43088,0.86013,1.317,0.00119655,0.00119655,0.00119655
15,547.282,1.51596,1.07761,1.39865,0.98221,0.99777,0.9949,0.60324,1.4045,0.90202,1.27884,0.00119244,0.00119244,0.00119244
16,584.907,1.52528,1.01747,1.38688,0.98869,0.99335,0.99482,0.60818,1.39258,0.81718,1.29677,0.00118833,0.00118833,0.00118833
17,618.964,1.50995,1.03938,1.37709,0.99044,1,0.99494,0.6103,1.4008,0.82896,1.29807,0.00118422,0.00118422,0.00118422
18,657.174,1.54871,1.04978,1.41197,0.99221,0.9959,0.99456,0.6106,1.3962,0.88206,1.27842,0.00118011,0.00118011,0.00118011
19,691.005,1.50782,1.01683,1.3962,0.98483,0.9959,0.99482,0.62007,1.37637,0.77164,1.29251,0.001176,0.001176,0.001176
20,725.364,1.50838,1.02977,1.38221,0.99286,0.99884,0.995,0.59984,1.42974,0.76245,1.26556,0.00117189,0.00117189,0.00117189
21,762.734,1.53313,1.00485,1.41403,0.9964,0.99984,0.995,0.602,1.38792,0.80414,1.31873,0.00116777,0.00116777,0.00116777
22,801.46,1.4968,0.99589,1.40451,0.99731,1,0.995,0.61697,1.40041,0.72546,1.27434,0.00116366,0.00116366,0.00116366
23,839.959,1.44328,0.92168,1.34189,0.99575,0.99818,0.995,0.61008,1.37713,0.69965,1.26393,0.00115955,0.00115955,0.00115955
24,878.547,1.42785,0.87323,1.33265,0.99685,1,0.995,0.60939,1.41924,0.69752,1.28222,0.00115544,0.00115544,0.00115544
25,915.108,1.46312,0.89709,1.34485,0.99714,1,0.995,0.60864,1.38478,0.71314,1.29647,0.00115133,0.00115133,0.00115133
26,952.121,1.46879,0.89849,1.36499,0.99642,1,0.995,0.61954,1.36697,0.66367,1.26285,0.00114722,0.00114722,0.00114722
27,992.075,1.41279,0.85491,1.32525,0.99691,1,0.995,0.62164,1.37207,0.67056,1.27291,0.00114311,0.00114311,0.00114311
28,1027.1,1.46652,0.87072,1.38159,0.99735,0.99505,0.995,0.60227,1.40831,0.68378,1.32017,0.001139,0.001139,0.001139
29,1066.04,1.44147,0.84912,1.3698,0.9964,1,0.995,0.6244,1.35492,0.61908,1.23396,0.00113488,0.00113488,0.00113488
30,1102.66,1.44843,0.81696,1.3247,0.99827,0.99963,0.995,0.63069,1.34075,0.61203,1.22828,0.00113077,0.00113077,0.00113077
31,1138.27,1.46559,0.84713,1.35969,0.99713,1,0.995,0.63593,1.34737,0.61855,1.23231,0.00112666,0.00112666,0.00112666
32,1175.42,1.44537,0.81404,1.32504,0.99475,0.9918,0.99466,0.63315,1.35216,0.62927,1.23917,0.00112255,0.00112255,0.00112255
33,1212.13,1.44132,0.83554,1.32385,0.99841,0.99981,0.995,0.61392,1.41029,0.62851,1.28194,0.00111844,0.00111844,0.00111844
34,1247.08,1.41492,0.84856,1.31388,0.99795,1,0.995,0.62584,1.35102,0.61466,1.23739,0.00111433,0.00111433,0.00111433
35,1281.74,1.45204,0.85413,1.35852,0.99782,0.99731,0.995,0.63356,1.34237,0.6006,1.24051,0.00111022,0.00111022,0.00111022
36,1317.77,1.43743,0.80978,1.3361,0.99267,1,0.995,0.63076,1.3552,0.61328,1.24901,0.0011061,0.0011061,0.0011061
37,1354.78,1.43314,0.79429,1.31831,0.9936,0.99542,0.995,0.62383,1.36601,0.62662,1.25437,0.00110199,0.00110199,0.00110199
38,1393.86,1.48707,0.80721,1.33073,0.98926,0.99633,0.995,0.63911,1.3455,0.61729,1.23911,0.00109788,0.00109788,0.00109788
39,1433.86,1.42808,0.76294,1.31637,0.99556,1,0.995,0.63509,1.32015,0.59025,1.21743,0.00109377,0.00109377,0.00109377
40,1467.61,1.39783,0.77245,1.31907,0.9908,1,0.99494,0.64171,1.32494,0.60506,1.21514,0.00108966,0.00108966,0.00108966
41,1500.13,1.43081,0.77566,1.3058,0.99474,1,0.995,0.64188,1.31787,0.59933,1.2234,0.00108555,0.00108555,0.00108555
42,1535.92,1.44732,0.79458,1.34053,0.99499,0.99963,0.99481,0.62531,1.3428,0.59641,1.24776,0.00108144,0.00108144,0.00108144
43,1568.35,1.42835,0.77769,1.32785,0.99274,0.99814,0.99497,0.63041,1.34829,0.59426,1.22153,0.00107733,0.00107733,0.00107733
44,1607.64,1.41283,0.78529,1.3176,0.99468,1,0.995,0.63074,1.32653,0.58945,1.21962,0.00107321,0.00107321,0.00107321
45,1644.65,1.38146,0.73275,1.29044,0.99812,1,0.995,0.64617,1.32394,0.57414,1.22251,0.0010691,0.0010691,0.0010691
46,1680.73,1.40714,0.76245,1.33132,0.99202,0.99671,0.99297,0.63636,1.33535,0.61181,1.2249,0.00106499,0.00106499,0.00106499
47,1712.13,1.37935,0.73324,1.2883,0.99643,1,0.995,0.65011,1.30432,0.58482,1.23103,0.00106088,0.00106088,0.00106088
48,1750.93,1.41241,0.79578,1.31509,0.99739,1,0.995,0.65443,1.30965,0.56772,1.21393,0.00105677,0.00105677,0.00105677
49,1791.01,1.44673,0.74569,1.34414,0.99851,1,0.995,0.64065,1.31827,0.57987,1.22744,0.00105266,0.00105266,0.00105266
50,1834.21,1.41518,0.73528,1.31584,0.99716,1,0.995,0.64657,1.28994,0.57839,1.23251,0.00104855,0.00104855,0.00104855
51,1872.69,1.4033,0.75219,1.3294,0.99736,1,0.995,0.64306,1.28804,0.56881,1.22372,0.00104444,0.00104444,0.00104444
52,1914.67,1.3801,0.71469,1.27937,0.9955,1,0.995,0.65453,1.29477,0.56508,1.19989,0.00104032,0.00104032,0.00104032
53,1955.91,1.43091,0.77438,1.3366,0.99846,1,0.995,0.65941,1.29302,0.56751,1.20482,0.00103621,0.00103621,0.00103621
54,1999.02,1.40521,0.75872,1.30616,0.99468,0.99671,0.99434,0.66195,1.30483,0.53944,1.20719,0.0010321,0.0010321,0.0010321
55,2036.03,1.42434,0.74686,1.32611,0.99685,0.99914,0.995,0.65557,1.31625,0.54993,1.2079,0.00102799,0.00102799,0.00102799
56,2076.1,1.36777,0.70019,1.27702,0.99777,0.99861,0.995,0.6722,1.25588,0.55431,1.19483,0.00102388,0.00102388,0.00102388
57,2108.28,1.39989,0.74282,1.29931,0.99336,0.99505,0.99495,0.652,1.29303,0.54217,1.21894,0.00101977,0.00101977,0.00101977
58,2142.4,1.3818,0.73951,1.30336,0.99591,0.99834,0.995,0.66313,1.30249,0.52468,1.22685,0.00101566,0.00101566,0.00101566
59,2179.03,1.38267,0.71174,1.29114,0.99714,1,0.995,0.67281,1.26142,0.52925,1.18701,0.00101154,0.00101154,0.00101154
60,2210.36,1.34528,0.70059,1.27458,0.99716,1,0.995,0.66974,1.24748,0.52774,1.1851,0.00100743,0.00100743,0.00100743
61,2244.94,1.36168,0.73082,1.31028,0.99601,0.99936,0.995,0.66254,1.25539,0.53375,1.19174,0.00100332,0.00100332,0.00100332
62,2277.38,1.44444,0.74884,1.329,0.99804,0.9959,0.99496,0.6533,1.29623,0.5214,1.20734,0.000999211,0.000999211,0.000999211
63,2307.99,1.31622,0.6511,1.26096,0.99356,0.99675,0.995,0.66984,1.25124,0.52974,1.18853,0.0009951,0.0009951,0.0009951
64,2339.35,1.36633,0.69183,1.30372,0.99447,1,0.99488,0.6724,1.26385,0.53949,1.18341,0.000990988,0.000990988,0.000990988
65,2378.74,1.3352,0.70144,1.26627,0.99067,1,0.99412,0.667,1.23717,0.5365,1.19467,0.000986877,0.000986877,0.000986877
66,2417.54,1.35521,0.70213,1.28411,0.99053,0.99671,0.99144,0.63063,1.35132,0.54661,1.2214,0.000982766,0.000982766,0.000982766
67,2450.5,1.38034,0.72986,1.31104,0.99856,1,0.995,0.66413,1.24614,0.53113,1.17809,0.000978654,0.000978654,0.000978654
68,2485.13,1.37385,0.74274,1.27738,0.9975,1,0.995,0.67504,1.2376,0.5201,1.16316,0.000974543,0.000974543,0.000974543
69,2522.14,1.35252,0.6922,1.28775,0.99787,0.99989,0.995,0.67117,1.23503,0.51564,1.14873,0.000970432,0.000970432,0.000970432
70,2558.49,1.31049,0.68655,1.24383,0.99863,0.9999,0.995,0.65416,1.26818,0.5209,1.19496,0.000966321,0.000966321,0.000966321
71,2591.84,1.3749,0.7183,1.2802,0.99828,1,0.995,0.68368,1.22291,0.49129,1.14638,0.000962209,0.000962209,0.000962209
72,2625.97,1.41497,0.71168,1.31934,0.99603,1,0.995,0.66912,1.25708,0.50917,1.18335,0.000958098,0.000958098,0.000958098
73,2658.99,1.36568,0.6936,1.27821,0.99841,0.99997,0.995,0.66731,1.28447,0.50323,1.16767,0.000953987,0.000953987,0.000953987
74,2690.17,1.3377,0.68242,1.26988,0.99468,1,0.99496,0.68893,1.23645,0.50239,1.16319,0.000949875,0.000949875,0.000949875
75,2723.25,1.29856,0.65753,1.23993,0.99429,1,0.995,0.67868,1.21373,0.49298,1.14227,0.000945764,0.000945764,0.000945764
76,2758.9,1.31406,0.65932,1.26072,0.99818,1,0.995,0.6779,1.21354,0.5007,1.15129,0.000941653,0.000941653,0.000941653
77,2793.51,1.30888,0.67395,1.26941,0.99784,1,0.995,0.67757,1.20869,0.49121,1.1549,0.000937542,0.000937542,0.000937542
78,2835.36,1.29072,0.66544,1.2371,0.99859,0.99989,0.995,0.67918,1.24717,0.48236,1.15748,0.00093343,0.00093343,0.00093343
79,2875.53,1.33172,0.64979,1.26991,0.99481,0.99886,0.99488,0.68044,1.24651,0.49092,1.14703,0.000929319,0.000929319,0.000929319
80,2912.22,1.34254,0.6736,1.27645,0.99518,0.99652,0.995,0.67862,1.24207,0.5148,1.15258,0.000925208,0.000925208,0.000925208
81,2954.64,1.26632,0.66341,1.22964,0.99624,0.998,0.995,0.70055,1.17709,0.47745,1.13825,0.000921096,0.000921096,0.000921096
82,2989.2,1.39628,0.66948,1.31302,0.99533,1,0.995,0.68759,1.23003,0.50937,1.16769,0.000916985,0.000916985,0.000916985
